year,currency,rate_to_ron
2018,AED,1.073
2018,AFN,0.054
2018,ALL,0.036
2018,AMD,0.0082
2018,AOA,0.0153
2018,ARS,0.106
2018,AUD,2.9756
2018,AZN,2.32
2018,BAM,2.38
2018,BDT,0.0472
2018,BGN,2.3793
2018,BHD,10.45
2018,BOB,0.57
2018,BRL,1.082
2018,BWP,0.385
2018,BYN,1.95
2018,CAD,3.054
2018,CHF,4.0332
2018,CLP,0.0059
2018,CNY,0.5959
2018,COP,0.0013
2018,CRC,0.0067
2018,CUP,0.164
2018,CZK,0.181
2018,DKK,0.624
2018,DOP,0.079
2018,DZD,0.0337
2018,EGP,0.221
2018,ETB,0.142
2018,EUR,4.6535
2018,FJD,1.88
2018,GBP,5.261
2018,GEL,1.53
2018,GHS,0.82
2018,GTQ,0.523
2018,HKD,0.5034
2018,HNL,0.162
2018,HRK,0.626
2018,HUF,0.0143
2018,IDR,0.00028
2018,ILS,1.09
2018,INR,0.0574
2018,IQD,0.00334
2018,ISK,0.0367
2018,JMD,0.0302
2018,JOD,5.56
2018,JPY,0.0356
2018,KES,0.0385
2018,KHR,0.00097
2018,KRW,0.0036
2018,KWD,13.01
2018,KZT,0.0115
2018,LAK,0.00046
2018,LBP,0.00261
2018,LKR,0.0252
2018,LYD,2.85
2018,MAD,0.411
2018,MDL,0.228
2018,MKD,0.0758
2018,MMK,0.0029
2018,MNT,0.0016
2018,MUR,0.1145
2018,MXN,0.2042
2018,MYR,0.968
2018,MZN,0.065
2018,NGN,0.0108
2018,NOK,0.4908
2018,NPR,0.0358
2018,NZD,2.731
2018,OMR,10.24
2018,PAB,3.9416
2018,PEN,1.18
2018,PGK,1.19
2018,PHP,0.075
2018,PKR,0.0283
2018,PLN,1.0947
2018,PYG,0.00069
2018,QAR,1.083
2018,RSD,0.0394
2018,RWF,0.00447
2018,SAR,1.051
2018,SEK,0.4525
2018,SGD,2.908
2018,SOS,0.00684
2018,THB,0.122
2018,TND,1.55
2018,TRY,0.832
2018,TTD,0.583
2018,TWD,0.131
2018,TZS,0.00172
2018,UAH,0.141
2018,UGX,0.00106
2018,USD,3.9416
2018,UYU,0.125
2018,UZS,0.00049
2018,VND,0.000171
2018,XAF,0.00709
2018,XOF,0.00709
2018,ZAR,0.2998
2018,ZMW,0.394
2019,AED,1.154
2019,AFN,0.0548
2019,ALL,0.038
2019,AMD,0.0088
2019,AOA,0.0117
2019,ARS,0.071
2019,AUD,2.936
2019,AZN,2.49
2019,BAM,2.426
2019,BDT,0.05
2019,BGN,2.4255
2019,BHD,11.24
2019,BOB,0.613
2019,BRL,1.07
2019,BWP,0.391
2019,BYN,1.97
2019,CAD,3.194
2019,CHF,4.304
2019,CLP,0.0055
2019,CNY,0.614
2019,COP,0.0012
2019,CRC,0.0073
2019,CUP,0.177
2019,CZK,0.1846
2019,DKK,0.635
2019,DOP,0.0804
2019,DZD,0.0356
2019,EGP,0.27
2019,ETB,0.0135
2019,EUR,4.7452
2019,FJD,1.97
2019,GBP,5.3722
2019,GEL,1.44
2019,GHS,0.777
2019,GTQ,0.55
2019,HKD,0.542
2019,HNL,0.173
2019,HRK,0.6395
2019,HUF,0.0144
2019,IDR,0.0003
2019,ILS,1.18
2019,INR,0.06
2019,IQD,0.00356
2019,ISK,0.0345
2019,JMD,0.0309
2019,JOD,5.98
2019,JPY,0.039
2019,KES,0.0385
2019,KHR,0.00104
2019,KRW,0.0036
2019,KWD,13.99
2019,KZT,0.0112
2019,LAK,0.00048
2019,LBP,0.00281
2019,LKR,0.0238
2019,LYD,3.03
2019,MAD,0.444
2019,MDL,0.244
2019,MKD,0.077
2019,MMK,0.0028
2019,MNT,0.00159
2019,MUR,0.117
2019,MXN,0.22
2019,MYR,1.02
2019,MZN,0.068
2019,NGN,0.0104
2019,NOK,0.479
2019,NPR,0.0374
2019,NZD,2.81
2019,OMR,11.01
2019,PAB,4.2378
2019,PEN,1.18
2019,PGK,1.24
2019,PHP,0.083
2019,PKR,0.027
2019,PLN,1.105
2019,PYG,0.00065
2019,QAR,1.164
2019,RSD,0.0403
2019,RWF,0.00455
2019,SAR,1.13
2019,SEK,0.4465
2019,SGD,3.11
2019,SOS,0.00733
2019,THB,0.138
2019,TND,1.49
2019,TRY,0.746
2019,TTD,0.626
2019,TWD,0.138
2019,TZS,0.00184
2019,UAH,0.156
2019,UGX,0.00115
2019,USD,4.2378
2019,UYU,0.12
2019,UZS,0.00045
2019,VND,0.000184
2019,XAF,0.00724
2019,XOF,0.00724
2019,ZAR,0.292
2019,ZMW,0.312
2020,AED,1.156
2020,AFN,0.0552
2020,ALL,0.039
2020,AMD,0.0087
2020,AOA,0.0074
2020,ARS,0.033
2020,AUD,2.973
2020,AZN,2.49
2020,BAM,2.474
2020,BDT,0.05
2020,BGN,2.473
2020,BHD,11.27
2020,BOB,0.614
2020,BRL,0.804
2020,BWP,0.365
2020,BYN,1.64
2020,CAD,3.192
2020,CHF,4.534
2020,CLP,0.0054
2020,CNY,0.615
2020,COP,0.0011
2020,CRC,0.0069
2020,CUP,0.177
2020,CZK,0.183
2020,DKK,0.649
2020,DOP,0.0726
2020,DZD,0.0333
2020,EGP,0.272
2020,ETB,0.0122
2020,EUR,4.8371
2020,FJD,1.91
2020,GBP,5.4122
2020,GEL,1.37
2020,GHS,0.735
2020,GTQ,0.55
2020,HKD,0.5475
2020,HNL,0.173
2020,HRK,0.64
2020,HUF,0.0137
2020,IDR,0.00029
2020,ILS,1.21
2020,INR,0.0568
2020,IQD,0.00325
2020,ISK,0.031
2020,JMD,0.0293
2020,JOD,5.99
2020,JPY,0.04
2020,KES,0.0388
2020,KHR,0.00104
2020,KRW,0.0036
2020,KWD,13.88
2020,KZT,0.01
2020,LAK,0.00046
2020,LBP,0.00056
2020,LKR,0.0227
2020,LYD,3.07
2020,MAD,0.447
2020,MDL,0.241
2020,MKD,0.0785
2020,MMK,0.0031
2020,MNT,0.00149
2020,MUR,0.106
2020,MXN,0.196
2020,MYR,1.01
2020,MZN,0.0615
2020,NGN,0.0103
2020,NOK,0.452
2020,NPR,0.0354
2020,NZD,2.817
2020,OMR,11.03
2020,PAB,4.244
2020,PEN,1.12
2020,PGK,1.22
2020,PHP,0.082
2020,PKR,0.0261
2020,PLN,1.08
2020,PYG,0.00062
2020,QAR,1.166
2020,RSD,0.0412
2020,RWF,0.0044
2020,SAR,1.132
2020,SEK,0.459
2020,SGD,3.09
2020,SOS,0.00735
2020,THB,0.133
2020,TND,1.53
2020,TRY,0.599
2020,TTD,0.628
2020,TWD,0.139
2020,TZS,0.00183
2020,UAH,0.154
2020,UGX,0.00115
2020,USD,4.244
2020,UYU,0.0998
2020,UZS,0.00041
2020,VND,0.000184
2020,XAF,0.00738
2020,XOF,0.00738
2020,ZAR,0.258
2020,ZMW,0.234
2021,AED,1.133
2021,AFN,0.0445
2021,ALL,0.0405
2021,AMD,0.0084
2021,AOA,0.0064
2021,ARS,0.0255
2021,AUD,3.124
2021,AZN,2.45
2021,BAM,2.516
2021,BDT,0.0486
2021,BGN,2.5158
2021,BHD,11.04
2021,BOB,0.602
2021,BRL,0.768
2021,BWP,0.373
2021,BYN,1.6
2021,CAD,3.322
2021,CHF,4.5616
2021,CLP,0.0048
2021,CNY,0.645
2021,COP,0.00105
2021,CRC,0.0067
2021,CUP,0.0047
2021,CZK,0.1918
2021,DKK,0.6613
2021,DOP,0.0735
2021,DZD,0.031
2021,EGP,0.231
2021,ETB,0.0105
2021,EUR,4.9204
2021,FJD,1.98
2021,GBP,5.7405
2021,GEL,1.27
2021,GHS,0.688
2021,GTQ,0.538
2021,HKD,0.534
2021,HNL,0.171
2021,HRK,0.653
2021,HUF,0.0137
2021,IDR,0.00029
2021,ILS,1.22
2021,INR,0.056
2021,IQD,0.00287
2021,ISK,0.03
2021,JMD,0.0273
2021,JOD,5.87
2021,JPY,0.0379
2021,KES,0.0352
2021,KHR,0.00102
2021,KRW,0.0036
2021,KWD,13.69
2021,KZT,0.0098
2021,LAK,0.00037
2021,LBP,0.00028
2021,LKR,0.021
2021,LYD,3.03
2021,MAD,0.451
2021,MDL,0.236
2021,MKD,0.08
2021,MMK,0.0023
2021,MNT,0.00146
2021,MUR,0.0995
2021,MXN,0.204
2021,MYR,0.99
2021,MZN,0.066
2021,NGN,0.01
2021,NOK,0.483
2021,NPR,0.0348
2021,NZD,2.934
2021,OMR,10.81
2021,PAB,4.1604
2021,PEN,1.08
2021,PGK,1.17
2021,PHP,0.081
2021,PKR,0.0208
2021,PLN,1.07
2021,PYG,0.0006
2021,QAR,1.143
2021,RSD,0.042
2021,RWF,0.00415
2021,SAR,1.109
2021,SEK,0.485
2021,SGD,3.092
2021,SOS,0.0072
2021,THB,0.126
2021,TND,1.54
2021,TRY,0.483
2021,TTD,0.615
2021,TWD,0.143
2021,TZS,0.0018
2021,UAH,0.113
2021,UGX,0.00117
2021,USD,4.1604
2021,UYU,0.096
2021,UZS,0.00039
2021,VND,0.000178
2021,XAF,0.0075
2021,XOF,0.0075
2021,ZAR,0.283
2021,ZMW,0.209
2022,AED,1.276
